AAVS1,ACOX2,ADAMTS16,ARID1B,ATP5B,C2orf78,C8orf86,CCRL2,CD40LG,CHRNA7,CLK3,CLRN2,CYP2C19,CYTH3,DAAM1,DBF4B,DSCR4,EML2,FAM9C,FBXO10,GLI4,ID1,KBTBD2,KIAA0100,LDB3,LHFP,MIA2,MS4A3,NDP,PDX1,PQLC1,PRR3,PTPN1,RAPGEF3,RHDBL,RPL11,RTN4R,SERPINB5,SLC5A9,TIGD2,WDR92,WFDC2
CLK3,3.09621506431675,2.35879942992,4.4769852542192,3.09234282621127,2.54589418535078,2.9400345532648,2.11347465691419,2.21304569753214,2.67519273790904,1.66330471595174,2.37288647891566,3.16831130104145,3.60370604072825,2.64883478566007,2.7651688030579,2.92700599724735,3.53246590997216,2.3193277813678,5.03756650116754,2.96871354522275,3.22235238222618,3.54747454408367,2.45157138977096,2.56639243714419,2.73382548881013,2.68756496353766,3.60153888377047,3.8796967558832,2.98020226372224,2.59161908332461,2.54231857440821,2.40874615058153,2.34991283075517,3.01447820023648,3.24433249052783,2.54648538842415,4.01515385430345,1.93074809260978,2.36428909231301,2.43419184095864,2.56308489933949,2.24996358161977
CLRN2,4.53761741035706,3.43972981084867,6.19794452044405,4.48949583839184,4.06977654286238,4.5169456290226,3.41158601361291,3.56760083069667,4.21763223201827,2.72484212951856,3.64435843170872,4.47508754424597,5.22325366726875,4.13956695125031,4.27941771968777,4.10231720723907,4.82989084855361,3.68538447595744,6.52719481715882,4.44291070017534,4.45020779312398,4.78675549998587,3.90089795131213,4.09387321346126,4.11463933240284,4.0270640521344,4.98071579805136,5.19719857012963,4.54122880665213,3.71841678988222,4.00535339158948,3.49324138899425,3.69317720132191,4.15890418912221,4.46920097690024,4.00686196300091,5.5622596086814,3.00699469086076,3.47304041131233,3.84552041424425,4.20186827311523,3.48880464369528
CYP2C19,3.61303963132825,2.42478823398276,5.40018027543969,3.74822526652804,3.74208379566729,3.93930377363929,2.87884952886674,2.88542426145512,3.98104898007179,1.90781731786478,2.50988790308376,3.39274637688553,4.58053743542067,3.46067178258468,3.90345411188744,2.97203168298304,3.80722778854062,2.9963267507683,5.35520060926892,3.81652648083487,3.18655260838652,3.72774589422665,3.46654813665526,3.69186089291907,3.33385552503704,2.9971527290568,3.1184709565019,4.02916170631147,4.22468427105447,2.7288175237799,3.33581160858894,2.42918487154463,2.88574631872253,3.08384753949557,3.23691767555526,3.56360700711289,4.78736902724362,2.1771132420639,2.45751701361415,3.12340858651312,3.89222965837668,2.57905785891925
CYTH3,3.23236363311079,2.59008661600332,4.55417060343984,3.19721186939195,2.49989061982552,2.86891740663729,2.17495511384371,2.25620345672811,2.59889274296466,1.85426043056506,2.58380176110755,3.41865826504351,3.56803807310854,2.6680865012797,2.73495045048869,3.22215189945695,3.75563799553233,2.36458551741571,5.27418757397006,3.02912781962196,3.52785559514302,3.82201020640271,2.41757754091459,2.5174797571452,2.81783996112197,2.85891596529779,3.82030549273655,4.17577218890561,2.92798425979239,2.85607016888219,2.58011009503692,2.66666000266772,2.43808937917141,3.27711949554604,3.53274669465722,2.51668620557399,4.11344976774883,2.12638370889049,2.59532820898189,2.52722563910954,2.49411956866912,2.42699262392915
DAAM1,1.63997049519077,0.988366556805017,2.33791491260603,1.71158991472211,1.76697414837087,2.17132859049942,1.37825343197512,1.34882091219516,2.01866525313598,0.920790986416662,1.0111229545114,1.25095487397955,2.40238980148267,1.68008408881602,1.97459983760799,1.26303065879525,1.9321586377298,1.37836204730951,2.78396680935206,1.61659407994522,1.39216774754602,1.67212642485652,1.69849186774076,1.78523729552238,1.54827066189481,1.37990406918369,1.7643656613632,1.91647590810015,1.88426806673513,1.01226893556516,1.56125565490565,1.09496794230396,1.24875177708749,1.25750216306699,1.44980347409822,1.80473644982641,2.29421017615802,1.16279773140179,1.13863571246478,1.15359792433893,1.83665838370375,1.02010034930595
DBF4B,3.88815627575945,2.86528887784014,5.47068293681372,3.85444746299682,3.50998256061486,3.93657180316375,2.87013789886132,3.00556087340728,3.66554410217656,2.24539691435386,3.06513042855668,3.79247938343668,4.5707520000794,3.56947043272895,3.70844593502316,3.46775100951421,4.16719651766334,3.11452378900984,5.76891488361614,3.79923834308202,3.77783247015633,4.10135281320794,3.33967431144655,3.53169196644493,3.50453832768055,3.42239663351731,4.30507614551507,4.50606494475165,3.95806566400427,3.0993207251848,3.42116669783394,2.90086865925282,3.10459779454452,3.529695603718,3.80856496263995,3.43626454146165,4.85174999919468,2.50957549774497,2.88441425617791,3.25678445912231,3.66826538165152,2.90005483493898
DSCR4,3.82711127597529,2.96511725103633,5.32642915306747,3.74832143226051,3.15404082602897,3.40496870310677,2.72812737757942,2.75051127022915,3.25151944353274,2.36427141905944,3.13179782494284,3.93371739430116,4.102007747671,3.29946881184274,3.38016865583971,3.68921955564242,4.26969383876819,2.86201527205708,5.87310618768337,3.60493052832609,3.9737321493485,4.28890571663699,2.94967722219485,3.13895144551143,3.32800638677299,3.42450683359137,4.07490034209481,4.7376492274378,3.58241772661728,3.28241643651402,3.18720797975114,3.04274369193744,2.92864071927346,3.68278289083251,3.98035423429897,3.05434187691479,4.71647897886872,2.63220045529142,2.98284472408017,3.1614864016397,3.32191089606072,2.92913711177475
EML2,2.70816732721601,1.93282887729027,4.04169889120415,2.68849885817234,2.42493877118364,2.77620002493357,1.91436154269778,1.98167853514901,2.57625876205957,1.52794135092431,2.1120006463895,2.595319246398,3.2412956335696,2.51460909776171,2.60856323381951,2.41554957599918,3.01042180040429,2.06946577029143,4.36724771800414,2.57275415058306,2.63303534555594,2.90974629512153,2.25659668895202,2.43748202716227,2.38820455635671,2.38379311849439,3.11223426440259,3.31129352274187,2.80676989549083,2.06977169260946,2.33973369080008,1.93555347697168,2.04470507826822,2.47660265361896,2.68756905744918,2.33163820223103,3.47784607036204,1.75324294818792,1.91487962289995,2.20441159570375,2.63924292886454,1.90085565071606
FAM9C,3.12565384313837,2.58292034479432,4.6908623377714,3.27985603465675,2.66050980452152,2.99016468884243,2.25850977049022,2.35215405337677,2.75690979273569,1.8556699659521,2.65862546384067,3.38144715478943,3.68357654856379,2.83400867287711,2.89681908206918,3.15216887413996,3.75046470734505,2.43417281329902,4.70050139952329,2.96379513178938,3.50743735216655,3.80317783377998,2.52753417605593,2.67574082894561,2.87762257995601,2.95107093860373,3.8746599178801,4.20742156903388,3.04907930690508,2.8397850110258,2.64377796776546,2.65125632069052,2.47120160351425,3.23212822359776,3.53806939370442,2.63429846722592,4.18811488516879,2.19338892446725,2.53521553058135,2.64791439301782,2.72906938459356,2.4008850569233
FBXO10,2.6551571340844,1.83363595175082,4.03480583378949,2.71005905176357,2.54132065024455,2.94830376238091,1.93039464658447,2.03569255998837,2.73309785096185,1.34069061412155,1.91087094964626,2.48488961203049,3.43464895100018,2.52184585388774,2.71613236654302,2.24479439497142,2.91856241410165,2.12670801021879,4.2721576230186,2.65040416012904,2.47205617218191,2.81026523963317,2.41054583325739,2.56293029765078,2.4214114571066,2.25260346587094,2.98971707175425,3.1301816917904,2.95240502843164,1.95826633617372,2.35915745759844,1.81976593045052,2.05940736135706,2.37126854464102,2.53532546844049,2.48542883932528,3.53371473046159,1.57888926397888,1.82129353639307,2.15136894338163,2.65465410303831,1.81052378020335
GLI4,3.0630032858239,2.22151792155615,4.79523623797796,3.34546488718881,3.36704744956915,3.77484791218419,2.54028113761509,2.70097612216194,3.58730309013667,1.71534722267207,2.42455984709064,2.88341620359913,4.2620052125135,3.28942699867234,3.53335875863842,2.56708229858447,3.34931012865355,2.7633918025653,4.17803063171872,3.1568359287405,2.8187904659962,3.20381946660343,3.17706078780365,3.39713095546695,3.03171588481492,2.81721245233068,3.51499757488532,3.59606040392781,3.75810025351379,2.34794824549036,2.99924506054513,2.15326348505947,2.62167317577829,2.72990359998402,2.95765562455854,3.24851234042174,4.20820888936637,1.99939586085194,2.15236508778322,2.80443112096504,3.57920798242928,2.22215787027645
ID1,3.58528869568733,2.82731845688589,5.02840306707364,3.51236325120562,2.93849251985542,3.28411891457501,2.52418817169408,2.58834025920383,3.0034774944838,2.20791043047644,2.97487745365,3.65965896882217,3.9285271332567,3.13892170393742,3.15388383208063,3.52150697324488,4.04725088858188,2.7040998555176,5.57162058592073,3.35680375104741,3.7440736697711,3.94541083827631,2.7622620344842,2.94202402439541,3.10584410023573,3.24887185869711,4.16245247844321,4.50411679674571,3.34468200919534,3.05885666431968,2.99227216318035,2.86669111662141,2.7805433076243,3.48257606778433,3.81603722575287,2.8423900401678,4.42426266485308,2.43537706449942,2.78872233378759,2.94693636449185,3.06993763717409,2.73033496400918
KBTBD2,3.63985312751474,2.57336174145786,5.21540193516184,3.63201850923971,3.50473116086512,3.93332700424629,2.76453586819743,2.90116300481542,3.69327551778069,2.08542853300227,2.82909870060913,3.4142738341806,4.46628808395434,3.50047542445285,3.67558367521992,3.10142065561378,3.82210171618194,3.00084477996565,5.33794909246356,3.61300822533537,3.37257599958601,3.69307729613329,3.30844719552694,3.52633539937562,3.32173327768395,3.18833108524991,3.96541288875729,4.10064008946991,3.93519149970942,2.7510506034844,3.31828326479614,2.57732986701733,2.9374727998162,3.17327525295458,3.42314420265954,3.3936265406503,4.57288434549195,2.32854061885424,2.58257988892898,3.1036416136788,3.73829777174342,2.65788413895403
KIAA0100,5.59853644464781,4.71070379808403,7.11859974396644,5.43314060660205,4.52307875973825,4.88890866804637,4.19097585219941,4.28990781777917,4.56824467019181,3.86460352811579,4.90365615073497,5.85385730798896,5.70716746415112,4.83114055068708,4.79093783438148,5.57716440247997,6.13876971694001,4.41710769073365,7.9119855429997,5.2380907166772,5.96353846366799,6.22329431171757,4.37032241844419,4.53584252378946,4.98494912840798,5.18478260356666,6.29378212409927,6.71394314490089,4.9794970639069,5.09253802505124,4.74172497020358,4.83842894598609,4.56595244551,5.54045726015797,5.93945512163551,4.49172562986834,6.50238194248435,4.17334852033532,4.74766321420829,4.75845252381743,4.61900692972492,4.62949407266164
LDB3,3.11924297163889,2.03770689192513,4.75656093307433,3.22940889931031,3.16181739246095,3.55751585967773,2.35370245688295,2.51997226888616,3.31795844599773,1.52050346105026,2.02778273771685,2.75700361265426,4.19258556544692,2.93555505682367,3.39972319907916,2.53663379556458,3.27307574227974,2.61607349533564,4.7962827664858,3.30326619020665,2.76767457691029,3.21047110258051,3.05574478888315,3.23859138252157,2.89679829014528,2.57046269764565,2.97797712217404,3.26786082372889,3.6919542364437,2.30242997281688,2.86705048994769,1.89967900689051,2.49759748810908,2.7373025288891,2.81530359113575,3.0501943528276,4.11156219711867,1.74826368976453,2.04086074472964,2.61687170995661,3.26307326550946,2.15861726632129
LHFP,4.13860007487351,3.06883560055063,5.78510526989599,4.15300705163689,3.79178634844617,4.27008717432716,3.09496744406626,3.26841303241743,3.96727197092202,2.30453250135859,3.17164772030616,4.05222837137348,4.98197673113238,3.78512081849584,3.99477736202186,3.65998416527316,4.42252043037613,3.38594861113778,6.08207671855614,4.13661472499373,4.00406717060465,4.38283652191413,3.66144760769841,3.82179655923683,3.79132295507025,3.59074983064542,4.53756263066102,4.72038217638117,4.2767760146378,3.32822453145245,3.66259332772992,3.1086187149919,3.36446329664272,3.76900954947068,4.03028244575615,3.76488021365454,5.22462588485468,2.59076143147832,3.10099463662777,3.45731035263219,3.83820324055977,3.09903438490565
MIA2,4.48743574234174,3.28479473194677,6.22407520839561,4.51257055263894,4.30509122199327,4.81251296808377,3.4727707187887,3.67263073683441,4.50933701043519,2.55153444863151,3.45021696582129,4.3004383234629,5.4968745792985,4.23577320742706,4.49034204604847,3.86968858336376,4.68164102506812,3.7903880387176,6.36283687236552,4.54772662212508,4.2160209869467,4.60076604010844,4.14809418966155,4.33824186070501,4.16522205781988,3.9004394032928,4.81881425814343,4.95440412777015,4.79975868203366,3.53592960276709,4.09383888857065,3.31262542918518,3.73067405006004,3.97856651955698,4.24836050926389,4.25002370861386,5.61180736958289,2.83558040559076,3.32243815338591,3.83685881469333,4.39728106132445,3.38306679391925
