AAVS1,ACOX2,ADAMTS16,ARID1B,ATP5B,C2orf78,C8orf86,CCRL2,CD40LG,CHRNA7,CLK3,CLRN2,CYP2C19,CYTH3,DAAM1,DBF4B,DSCR4,EML2,FAM9C,FBXO10,GLI4,ID1,KBTBD2,KIAA0100,LDB3,LHFP,MIA2,MS4A3,NDP,PDX1,PQLC1,PRR3,PTPN1,RAPGEF3,RHDBL,RPL11,RTN4R,SERPINB5,SLC5A9,TIGD2,WDR92,WFDC2
AAVS1,2.63383963473053,5.22045390310188,4.22454222077791,5.63841096199169,2.54328230091221,3.91712503425955,3.38379105018496,4.72539872001854,2.27575867041185,4.73969496406383,5.11521637631292,4.48875478298183,2.22184235354733,3.84626994016731,3.56543956432099,5.03716973252242,5.37665606117104,4.81605679296157,3.53118928349683,4.07090130658006,4.62681911733677,4.15891682553907,3.33815006509616,4.34125077750046,3.1168733285,5.32631990334688,8.05566380759673,4.45376953144853,3.03590895226275,4.7057856462287,3.48765953298072,4.53917522181599,3.79654846160128,5.02207797095945,5.58664358333072,3.74215447277333,4.07886888906565,4.11266319184536,4.15397871882406,4.47401572705196,3.25365043015052,4.75703754452767
ACOX2,2.03314385051542,0.40402154787402,2.1314331683821,1.48892148763189,2.56867014549478,2.31698943044618,1.84674997993246,1.71092585698452,3.17358156060168,1.51178002012819,1.46595864907587,1.16358112959828,3.71635734965262,1.70469197310639,2.18530189449237,1.31907004746797,1.65522668858248,1.40742875313572,2.80320133741308,1.70900198108197,1.47737264664051,1.78428369526074,2.21567179376534,1.48750536217345,1.74657337068941,1.50784762800833,3.07119635290358,1.96587396073468,1.72875180030584,1.08559349712601,1.91894706703804,1.58510002894998,1.37514803983343,0.763178467960245,1.42941695441115,2.35219175595477,1.65352183343537,1.41369757962631,1.54155399873162,1.24109662286605,2.53831101388484,1.79660466718312
ADAMTS16,2.08725456597025,2.35481580517339,0.55781026417617,2.46989482712903,1.7519917598439,2.25018958951796,1.77533783788846,2.4966333715855,2.19775760810663,3.29701039387916,2.69719086258179,2.45357940169434,2.29352372873225,2.20854057943054,1.49322159144334,2.60328905149191,2.79049680908401,2.2611161406595,3.09202279059116,2.26947421225335,1.85738624152266,2.57440884629258,1.76738462356186,1.82374454147825,1.70943152160679,2.35113509157567,4.20826577686757,1.61699956613598,1.43267862818631,2.61975973256166,2.13838502450715,2.63121482299395,1.92854287007816,2.49605933976351,2.65356706447391,2.26885605195939,2.06400097080422,2.70907607112011,1.94040101247097,1.84350950726431,2.69761968624074,2.51628805810341
ARID1B,3.54912101229512,3.62118418855074,4.93381271336505,3.70752049295408,4.02113690072199,4.44295185366003,3.55253728598017,4.18442615489612,3.98707744750507,2.71929202950859,4.23107203017507,4.23457968500636,4.29416203059206,3.67000305200461,4.34052480561517,4.11771544771618,3.58826709463273,4.31647080968692,5.43319156446681,4.73564158310799,3.97674291558004,3.42639479197901,4.3118577076556,3.93454162765325,3.78942333600647,3.74790566359107,6.07986117151993,4.69618294270177,3.6517012695526,2.82674094483934,4.24028462189089,4.05931780734862,3.73648047388692,3.76204454397852,4.21478440187577,4.48574915477205,3.6889374613722,3.30306975414677,2.98557952717547,4.42732207136435,5.45991403838065,4.78543269459909
ATP5B,1.813174586446,3.81914138056518,2.79934229768979,2.99064677878988,0.841921671411988,2.21476998966304,2.27768120881128,2.99472325990834,0.83977494213059,4.26080576695882,3.61396653269383,3.57416197661986,0.449010265885667,2.16722266792969,1.50790900557495,3.66974993207984,3.53479146896963,3.1081864001497,4.15860962830456,3.10268101448307,2.97959091722795,2.8815785703814,1.26596988030889,2.30259995205496,1.66968653125232,3.6155101971054,5.02124757439652,3.57078280875861,1.23537233694388,3.09326648712448,2.05431188820165,2.68102645313111,2.29477783056332,3.65200543260327,3.55713554649935,1.76358985754426,2.17542222553668,3.03229426465147,2.88389470610914,2.21062913984639,2.84120180593303,3.14027103598532
C2orf78,1.18613388153228,2.06567534621603,2.8880869988887,2.21581117286135,1.62314631061209,0.280139400927208,1.7640248348017,1.40535255649128,1.83238489004716,2.24343098144628,1.33806828683182,1.68828410282213,1.43392767889087,1.240622255487,1.76199274422054,1.96721016144578,2.09655816631521,1.3902323130651,2.58653742395557,1.89964190056016,1.75916919773937,2.20068833974051,1.61090275217984,1.53441872844369,1.41365357136203,1.92307974305197,0.862941597198695,1.9737600813473,1.93381237091647,2.00621845236619,1.37500544448012,1.7977690031893,0.965334069128516,2.3466013390513,2.06411629421987,1.60092676923736,1.66043512336785,1.81206021169741,1.73886114943606,1.8133703135058,2.44686355220724,1.89394334680772
C8orf86,0.8926834285316,2.22484521371024,1.69337321658217,1.6889893801592,0.713816233531368,1.21665128473119,1.05003227120804,1.69956372828857,0.84919742292447,2.45931426956159,1.92045271334912,1.82912895512288,0.988904688154387,1.17238215573408,0.849946604709371,1.71592785161562,2.03580890557176,1.65342723315671,2.78321248789606,1.83187522226755,1.71331597669788,1.95539946274406,0.95077626658655,1.3255943321754,0.83852241131609,1.90245582299841,3.56663016176335,2.02593217865443,0.938853386269492,1.73128553437533,1.15721670154051,1.72710347479999,1.11569542474504,1.79071898130966,2.15145827879857,1.13962818640029,1.23631172961127,1.68875063696773,1.4700973695613,1.45229925985525,1.94725297514755,1.84514586003118
CCRL2,0.862331106988777,0.963226971801407,1.83346508367619,1.21310618486618,1.39890117871724,1.03519244923373,1.0443654018345,0.733452852336276,1.91139647461458,1.38853024649171,0.766887123695046,0.821666998785516,2.21953174221698,1.12681395148379,1.20188027507117,0.783254725428474,1.29912600898784,0.788245910207418,2.12293497440647,0.908904060006991,0.852573184452274,1.05873418692144,1.28297186548241,0.923881765709975,0.79356982936975,1.02084337220438,2.36311539118953,1.2050009344256,1.43028350380199,1.05143662748176,1.02265925952835,0.875840722424225,0.707754850868398,0.94483634803737,0.768107709843061,1.09596975132319,0.950169862087001,0.910733349108209,0.918163241638926,0.928295931906787,1.69462037749991,0.93887150144844
CD40LG,1.43365419830322,3.23485502729696,2.76706917063352,2.40311841271109,0.594432697624222,1.74636943157167,1.7912156217182,2.38561536300007,0.41365873530133,4.086107973047,3.02523219660846,2.41040897093075,0.749461606248524,1.84709596041205,1.43849263505866,3.14176497529586,2.70857496142206,2.30988741087874,3.83072147826708,2.66204159187067,2.80196501768917,2.51099609551848,1.10063483210857,1.83404220600673,1.4441399003558,2.98161040937645,4.65136213640835,2.45939224367725,1.04583597589702,2.89531616978198,1.68353554297848,2.36819107976261,1.886157323337,3.17957775277923,3.0028195742182,1.42898603552625,1.82767427355151,2.60010480934887,2.53885700928155,1.85028495628453,2.43726455238091,2.37390896110177
CHRNA7,1.94856343612126,1.08585180293698,2.25931786755633,1.88705243283408,3.27319651722997,2.34384375017731,1.96249773269833,1.66452044137027,4.16244341570699,0.81442186817687,1.43376232030624,1.19182354362736,4.76812808062499,1.52750697002178,2.54562642568711,1.01623239675927,1.68900113875867,1.63862648824542,2.14083169305575,1.63494099813097,1.41948138775518,1.44433229283031,3.10211251023237,2.01993252537967,1.94088540978568,1.5145507921587,3.33883727946001,1.36832591336547,2.86128940813801,0.999994990986452,2.10996020039705,1.92903904354468,1.58045723717781,1.23955315061748,1.5976715004005,2.71387117345143,2.00564226419297,1.21050959477282,1.35945642793249,1.88535326738784,2.3611499041329,2.07829619825818
