AAVS1,ACOX2,ADAMTS16,ARID1B,ATP5B,C2orf78,C8orf86,CCRL2,CD40LG,CHRNA7,CLK3,CLRN2,CYP2C19,CYTH3,DAAM1,DBF4B,DSCR4,EML2,FAM9C,FBXO10,GLI4,ID1,KBTBD2,KIAA0100,LDB3,LHFP,MIA2,MS4A3,NDP,PDX1,PQLC1,PRR3,PTPN1,RAPGEF3,RHDBL,RPL11,RTN4R,SERPINB5,SLC5A9,TIGD2,WDR92,WFDC2
AAVS1,2.55996268575969,5.12887060445042,3.54480836100717,4.89981019097519,1.86117263772812,3.16387512776272,3.41532231237969,4.3573007026245,1.75570368338131,5.36073618545029,5.09376170881878,5.34949922313976,1.16385584308474,3.96596063601227,3.16740628935859,5.37991561759254,5.21635516865867,4.56924394270851,4.04034571753641,4.00635384224732,4.53530603903615,4.18262270027663,2.42622876589877,3.72438666755799,2.7442661608303,5.20428718535536,6.375952729192,5.09042945416077,2.06898029585361,4.42531072256512,3.19885856145199,4.21988549172253,3.45214499442627,4.90668490362867,5.43637936696688,2.9847915386678,3.43878931887592,4.63058488200437,4.0443206210714,3.63657558333083,3.59354196352319,4.56469477525413
ACOX2,2.4154662745722,0.693837996642334,2.57624857306137,2.24263844668501,2.55336738170986,2.59975603048205,2.19430486085424,2.06085632584129,2.98362630753513,1.87530435987728,2.01363387324157,1.63469682256259,3.36434049174481,2.26185849380998,2.34838628008423,1.9496039792695,2.37270892745514,1.92633303154685,2.92337702291011,1.98113557200037,1.9332526312922,1.92748851032196,2.2714470520282,1.82797862961914,2.12030763949511,2.07453023609175,3.07950443215223,2.55637570221725,1.67141725997871,1.36713395419107,2.23676201800748,1.84770946716435,1.86771040720634,1.38580395485785,1.88306621428703,2.5551064489234,2.08425289728795,1.91647905120435,1.90960014274191,1.44740666370673,2.89164974032269,2.13400874167897
ADAMTS16,2.56279688123299,3.80489350970001,0.986117296772037,3.21914153769886,1.70957888250923,3.66244225310651,2.5645095534614,3.48685390147715,1.98657458371096,4.48998447801667,4.03413955875929,3.07438918011324,2.01014990331227,2.67312445482073,1.79539680965547,3.48225597297554,3.64349358615586,3.17994507735272,3.71282784687776,3.10527409121763,2.67071758142555,3.25492062923367,1.91929908285914,2.59452503489535,2.10832516579203,3.66929853198924,7.89298407573834,2.24432702280758,1.46502352158745,3.58349457570179,2.58700354025358,3.30836077445895,2.75613069329536,3.42149442428634,4.15424976227154,2.24525876421321,2.75228440708093,3.33394648616882,3.0063399534035,2.29435202946669,2.9220535865007,3.07949094652779
ARID1B,4.03451077511153,3.4109930743384,5.63840375696759,4.28992483180171,4.48592796959622,4.98930860338218,3.66122112344772,4.49259021105174,4.51363877650292,2.49573226237748,4.54880693549687,4.84442577948798,4.69929147474818,3.78117199503797,4.76682113515919,4.46183798661484,4.51288626354906,4.76127354530557,5.81140252680586,5.18421353430998,4.47610155821572,3.69551771284196,4.73839127180059,4.44219540722733,4.003218329633,4.35587562621876,6.17732910095595,5.16722248463318,4.11146975272286,3.01044548182064,4.4677593410483,3.91521185417279,4.11257012909601,3.81366478273738,4.86071296007091,4.59495306340305,4.28383716289202,3.34214036107853,3.3533124155967,4.70724877955396,5.72930025244298,4.90618283041246
ATP5B,2.30507879252847,4.52499338662178,3.17664640039547,3.54247228741921,1.06320986076788,2.66148867812517,2.93885290753555,3.57441771899974,1.04460126055987,4.95715637702578,4.44593732750553,4.34103128481774,0.540807571438273,2.6946062702105,1.8195812803264,4.38311860017489,4.22464115536726,3.56237605659156,5.16432454506614,3.76721361828505,3.80031517047903,3.71072368440285,1.55698026303349,2.66451808269917,2.10481464242861,4.25939558873763,5.74697232440208,4.14623050162818,1.45508996811006,3.85308046438112,2.49302420602403,3.16710554876366,2.84417255176336,4.43174677671118,4.25551419700376,2.1546130293615,2.6640798512638,3.6126019316638,3.52051789952729,2.69807753859163,3.19458673714904,3.47284566928255
C2orf78,0.923335740329724,2.16219285910682,2.44664524610742,2.16202870627303,1.11019973369584,0.4076742612476,1.47541743235982,1.45424990279919,1.30429694774437,2.3456123817723,1.5729071280955,1.79280673801579,0.844095739715171,1.27314271748949,1.30777634762017,1.91840220887087,2.01067633414346,1.49641609860332,2.45503741179952,1.77723429509349,1.59201058453249,1.99989775346314,1.21010396397857,1.37379005414491,1.13349463078458,1.91013818046943,1.49805807717443,2.00477752504444,1.44377841247086,1.84856013589339,1.23237519794879,1.7440475810963,0.955371046008975,2.23188757283455,1.89701191738378,1.31179395162493,1.4716375793588,1.74050553279342,1.52184812734776,1.55127830786812,2.21313689424277,1.92606204807738
C8orf86,0.732469469829757,2.10613151516508,1.77561088598055,1.74825900014424,0.418332654110752,1.34406832095465,0.8655423643216,1.53438041006178,0.486563880942762,2.5582367199163,1.97998690538981,1.87291631781519,0.656364987635528,1.22384562622907,0.693025435288103,1.81107732726176,2.02135769005837,1.49781359737467,2.73362574868169,1.6514271580535,1.66124627190792,1.73409501951959,0.643012962071726,1.10050290445139,0.736151515665677,1.94545021332513,4.09493999388639,1.96952027121645,0.71623114786348,1.68662005750802,0.938306318714152,1.31316730606926,1.08272615633719,1.79575263083946,1.81872949825719,0.776109264861792,1.07450417354796,1.49960594615943,1.33827807984638,1.260577332059,1.80686168955897,1.51384623954546
CCRL2,2.74297067116712,2.33200087430227,4.05257137920141,2.12353652329678,4.76890569079813,2.72621965931903,2.90987334418237,1.86188616185419,5.7071409779093,3.86181504474005,1.9161895929805,2.30691829232479,6.30025224830512,3.91277911973544,3.51108379210885,1.90688135731142,2.15639077418512,1.75694002561611,2.78191073061122,1.67125435985768,2.05378040626681,2.78346334431218,3.75900976188225,2.56073706677067,2.79642669626601,1.82358270734753,2.68457934952961,2.88750895727489,4.34455213659748,2.85618510172834,2.91107031115476,2.31120337955426,2.35275995921057,1.79946747535665,1.69738589806101,3.19731915608322,2.40102180888668,2.89584296391266,2.09953248243635,2.70262600282917,6.1327000466017,2.06379148289264
CD40LG,1.97704806695965,4.11395272248856,3.45478625923724,3.02340295627734,0.753116280880928,2.33652504443826,2.3864803334531,3.05788400658556,0.518169762429183,5.0074488673247,3.93944885367261,3.43709739917132,0.663899236162959,2.46044000731116,1.7734293263371,4.06779607429475,3.43399816806866,3.09974828662966,5.20866467513984,3.54792306992518,3.55475209840501,3.20658436678983,1.30111097431391,2.28299343751818,1.84278416544693,3.74517163403364,5.72362653570108,3.4687649773884,1.28799074274821,3.58538108734097,2.15343058180457,2.89343416403463,2.50797043559783,4.04126205944963,3.84376733283987,1.74024540018175,2.24064115240111,3.29619491315916,3.25871211217183,2.37270900956732,2.8297196087291,3.04988903786042
CHRNA7,2.15298568062911,1.13941079377869,2.43740166124772,2.40117630740355,3.66696165359409,2.6910182806345,1.97105264809782,1.86644589374955,4.52811169842445,0.410818467136349,1.60858018896202,1.7509915731231,4.89489993205409,1.61907914685731,2.83391859780675,1.27705126729755,2.1287488402237,1.87943651241556,2.23662869367724,1.9064944082377,1.41077962275656,1.49193753748186,3.4473566775932,2.25755039935796,2.2744943234136,1.80040121775997,3.41195022933194,1.69940646736978,3.15896001336059,0.926118245784737,2.30507740891777,1.77356697726967,1.70252599947952,1.38451488004975,1.71043682268689,2.79484172657424,2.35031092543132,1.01845561802481,1.27237741726164,2.18892673981751,2.55830922277338,2.14404916765189
