AAVS1,ACOX2,ADAMTS16,ARID1B,ATP5B,C2orf78,C8orf86,CCRL2,CD40LG,CHRNA7,CLK3,CLRN2,CYP2C19,CYTH3,DAAM1,DBF4B,DSCR4,EML2,FAM9C,FBXO10,GLI4,ID1,KBTBD2,KIAA0100,LDB3,LHFP,MIA2,MS4A3,NDP,PDX1,PQLC1,PRR3,PTPN1,RAPGEF3,RHDBL,RPL11,RTN4R,SERPINB5,SLC5A9,TIGD2,WDR92,WFDC2
AAVS1,3.83904746623711,2.44821570889952,5.52996657033568,4.21473082309318,5.03570134147939,5.12296550884093,2.92118534449929,3.56932844656409,5.23703014439127,1.39522400709445,3.46584221920642,3.736636014496,5.95733146546446,3.34088352673629,4.79711093045685,3.36359063245083,3.98640684221093,3.94459399490722,5.11334361444507,4.17013906899161,3.51654610176752,3.03973360168933,5.01214766120426,4.10160227372022,3.86014862997018,3.7164582904202,6.3289529934671,4.3030104736173,4.68064489570041,2.27044667563815,4.08955599874013,2.8800604143941,3.58144337997679,2.75917706385112,3.48605198672978,4.16107218772852,4.01406216877043,2.15216315883222,2.69547091424792,4.1073269458468,4.74082001395835,3.89205321583341
ACOX2,4.49310615308369,3.0422454546468,6.37082900722248,4.98060936634155,5.66900437053382,5.64121691013021,3.52379233186558,4.25596631826581,5.79229021488949,1.90746659669853,4.15765056858748,4.4901913919939,6.39743615137594,3.98479053970508,5.49757512221029,4.09055066381539,4.7569334727052,4.67893142210017,5.87707773185938,4.94518538105081,4.2430863123397,3.667020617515,5.67397153598724,4.82905161137423,4.52918470614385,4.46462199936392,6.49880764470943,5.08838733664318,5.33848295850434,2.87626163984677,4.7999556468027,3.51974447112253,4.23434904170867,3.40646031257855,4.21798978295739,4.80598937130482,4.7287216105416,2.75369147185546,3.2899211972338,4.87642524616273,5.63830094368683,4.64659651320408
ADAMTS16,2.06946614707286,1.73058399931138,2.86529676433307,2.48698254505629,2.55832550226043,2.85298639031836,1.73635123076141,2.05106449108096,2.90284422227404,0.799373257731377,1.65530047352385,2.1297742392942,3.79968839184914,1.30600963788756,2.50088803373613,2.00889963850571,2.18281440443903,2.0573435660134,3.45727884828111,2.4504256580269,1.98378208693976,2.51589286662541,2.80592782675958,2.00522658857116,2.1094406107549,1.97023909742688,4.5735651705037,2.35276074954464,2.49840471108064,1.47700128067266,1.97918460705549,1.77374708358479,1.8116690079955,2.13414414314993,1.90606086742118,2.48485838143865,2.26044610414537,1.16961977348385,1.97911220985666,1.90200069723534,1.02611083358909,2.10129398854465
ARID1B,3.74670679896575,3.00424180283321,5.87884855395957,4.03679366264787,4.54128283919883,4.81931793793025,3.0440178067117,3.71293116699566,4.59329736605871,1.78154048989431,3.74348432512794,4.25339199682766,5.0236692351143,3.36773773656295,4.52271355545068,3.64505445488284,3.84932613247819,4.10066758092745,5.69572627498534,4.47286433883101,3.76951446692335,3.19213750186016,4.65804695591124,4.0273629560518,3.74565659417396,3.71110847977347,6.0917145675946,4.77869573789536,4.3971279165684,2.49627658043168,4.03507699316668,3.11469199620678,3.62090014002068,3.22473486476977,3.91201533745682,4.08836160393759,3.80769264881088,2.45088137284435,2.87529703516047,4.35089890226391,5.01805426927684,4.12969030974244
ATP5B,3.57568950951697,2.69549277455731,5.36673713289623,4.22013915411498,4.35426814059913,4.88432663239533,2.73781627213326,3.56011556833367,4.39438836554051,1.47073138525444,3.52452069679648,3.85889778690621,5.00795660871373,3.08609102996097,4.35928290264271,3.47733434502848,4.00071152937295,3.92974645581744,5.19387619256013,4.20449792941238,3.56686577687169,3.14549733619964,4.50452226303177,3.91074924785243,3.60366816659328,3.75112858301383,6.43827439528259,4.30961094205464,4.23440836965783,2.37136275351749,3.8152902020637,2.84681743396397,3.46975684092739,2.98710398907324,3.55759001153658,3.81167151793939,3.85395478777527,2.14041459616065,2.72600717049299,3.98276658692393,4.24586122846303,3.83797101161587
C2orf78,2.6011856374083,2.05145907368844,4.4367268375534,3.39222978021326,3.31620100998285,2.93226683837747,2.12323610425354,2.5675732355207,3.38706327828794,1.34577810979411,2.65526198104759,2.88417983825109,3.48257871310626,2.41196406937431,3.46340726996755,2.83489769074576,3.32500952054593,2.93922826829952,4.15847146464508,3.24609692886051,2.72952882421672,2.27496382582197,3.4032974156021,3.02063720730244,2.69768135647001,3.08718952866661,3.54033528311827,3.2510408403832,3.25957311432049,1.78840608408178,2.88435840115303,2.22936956350914,2.40846890163435,2.41750992276128,2.76046367127397,2.89494613927141,2.9882047082133,1.73523624174604,2.00682972392861,3.15383796926207,4.22449654350597,3.02243890614536
C8orf86,1.79958952101468,1.26189393881099,3.48183876994616,2.17177494343981,2.60432016689637,2.80988599862386,1.21511317768472,1.62778307060666,2.80587638939026,0.641184671809986,1.73038343966756,2.05137365633258,3.40939433991024,1.74984146933726,2.46523288095858,1.65833298980474,2.05965098600438,1.9149725112374,3.27587632496954,2.13431318482526,1.69978305763468,1.43149693878653,2.53788869658763,1.98044790371582,1.79240491130608,1.8490773711234,4.31611489479282,2.43787062337135,2.50047644840256,0.952531781591196,1.95879974095749,1.17374977164557,1.6651010357263,1.29676591346931,1.74401228287912,1.94338425544674,1.91735151954946,0.829628139071724,1.12312023935224,2.10497640509625,3.05883453839893,1.8484436586935
CCRL2,3.96589611902683,2.97317516818483,5.96160177160073,4.56088328864844,4.87733666705492,5.32034995943422,3.05148109310731,3.87519683697945,4.90583172629643,1.8383718820387,3.94807858220219,4.23954077729794,5.48853396798854,3.67739655578082,4.83129697219044,3.78240945829696,4.37533010784353,4.31346249345724,5.53435578422791,4.53953217970324,3.90318691919909,3.29730350496494,4.94612303305843,4.35367688973908,3.98723182389035,4.12538343763991,6.75391591332044,4.73157796249267,4.72744963888431,2.63723231279618,4.26729132130939,3.12232188330819,3.87142743366093,3.17607543248729,3.92082304519219,4.16026083339808,4.21667870853334,2.47431753406912,2.93069602921528,4.48345102955458,5.3802090902129,4.19886459802932
CD40LG,3.28418308631498,2.17801254229539,4.98725629426131,3.66570653617898,4.42185573168957,4.47639886962834,2.44343493464874,2.98903418477369,4.6426954014922,1.03765511632899,2.92105550570644,3.23573082017376,5.37069858283192,2.79790915511889,4.18274299418926,2.83115045345974,3.41269057497116,3.36307396049175,4.58952825810694,3.60529261410553,2.97525265510515,2.48060242836983,4.41913628015276,3.52947714424499,3.32144189415034,3.15460806867301,5.77769449571889,3.66930222964361,4.18772514122308,1.82542160172417,3.49783482332575,2.40133855911173,3.04811778185362,2.42514691549558,2.97493117804296,3.59258528231729,3.45297744930314,1.70666110691405,2.25960903041563,3.60931228130957,4.07821988059593,3.31854057595229
CHRNA7,2.61425809452645,1.57142728474175,4.2973564992197,2.79927895812502,3.92896934471818,3.68799114695106,1.86045547656767,2.2016620176112,4.26538089944231,0.775433267902737,2.1796190224318,2.49546107214888,5.01608805673014,2.41483351930284,3.52700618549421,2.0699184578189,2.58611518739307,2.53342074577737,3.7576670843517,2.72166196321144,2.1939840543947,1.83273024714751,3.74921845764317,2.79177413989562,2.64081627305869,2.34098092533322,4.82176836659032,2.96372085584526,3.66264212817037,1.30355683301726,2.81301363585809,1.71044703004718,2.34790027571791,1.65869646831279,2.21079153280674,2.90264115639381,2.67633105297663,1.20822873796981,1.55390768439226,2.9074128201695,3.921052493496,2.49679558610577
CLK3,2.86279355423611,2.26880556332755,4.66413921104194,3.52821343358279,3.46950597875633,4.08998740940364,2.13277188877376,2.9130366658094,3.48605045758315,1.28117727115292,3.00084998377054,3.31987970496122,4.03084801150376,2.5642443464215,3.53615389893497,2.9388608047248,3.39115565461413,3.26218939084889,4.59488536806799,3.52948473598528,2.97863783263604,2.5833404988265,3.60251587211216,3.18180470349655,2.86892338993597,3.16965173830166,5.78606145038999,3.7198916428838,3.40715684749185,1.92075746576912,3.08396493901896,2.25607271323261,2.8132794870281,2.46506063736543,3.00109390988527,3.01151150021041,3.12760438777809,1.71093935640024,2.18297970822006,3.27963991721759,3.78289157342864,3.15392092998123
CLRN2,4.31521465250144,3.28142711798242,6.35605149825959,4.94173095351527,5.21971833990178,5.70807964228147,3.36493401531511,4.24015906319242,5.22254107518958,2.08648863561268,4.31765591321028,4.60568155697415,5.79424957310162,4.0142522997,5.19523768414661,4.13814680640708,4.75258484510053,4.69651248458072,5.90833018954065,4.92318236290391,4.26690281213701,3.61773327350049,5.30587881262193,4.7282923050525,4.33788254086357,4.49882381098998,7.14623807803305,5.10933167635381,5.07221833365517,2.93924693491788,4.63318468005731,3.45145122786856,4.23096441607933,3.49964702608933,4.2834243004821,4.5072599589671,4.58254690182896,2.77275211551589,3.24379407053263,4.86145351309861,5.77432651769394,4.57463243059522
CYP2C19,3.5859165770804,2.26658301433474,5.52055843509466,3.89371805149069,5.1054931189225,4.19661177902312,2.77805655758473,3.11307963116364,5.40002814509445,1.33795176300958,2.96895869661708,3.46969316785887,5.92129094374122,3.20394389411016,4.68666877816991,3.04897532207916,3.63979629467566,3.49770326527481,4.75330232969533,3.81535516071104,3.16569530740892,2.74631851371732,4.91141121856464,3.84441411860799,3.67684119630746,3.3216592315767,4.35273376377639,4.01958352150447,4.8034610774158,2.11092538326737,3.87815032895905,2.62710311178705,3.19153329785419,2.55825270803871,3.16895191345124,3.98287962244955,3.75081157545917,2.00936257081105,2.37159212605802,4.03198463436984,5.1313544809116,3.59160385341552
CYTH3,2.95244690240879,2.5645942404439,4.76270786114128,3.75482023833995,3.33192496894083,4.19039333855844,2.25745834079339,3.15011454161753,3.2673402245358,1.57237131774597,3.30300269255194,3.62095534018916,3.74327356754195,2.65667338877595,3.5303528240703,3.25874481451647,3.6634425330213,3.49356095245516,4.88258269509633,3.78473309437248,3.25362840603545,2.8623970097072,3.541480668607,3.29965003105311,2.94874872805682,3.45847363206537,6.0975088135047,3.97962023473114,3.33438251830148,2.18223718516146,3.16995622071775,2.46172551596054,2.97328115442065,2.77268116722001,3.28607707885598,3.04745575589622,3.26813112535597,1.93851118009199,2.4271472790054,3.39425834591331,3.76155349504912,3.36189441471539
DAAM1,0.847970747588719,0.287587292012518,1.91413554728651,0.73644637914768,1.72893628212783,1.43058648668627,0.59778441141681,0.399662878654882,2.25902837710944,0.330821616918931,0.372016751464815,0.666048865099473,2.94681551954481,0.915989126735181,1.3691846571878,0.41876354538866,0.709564368825973,0.468687866922521,1.9191722021141,0.662319230592639,0.432576807830531,0.58976105074627,1.41464366637041,0.669311621491723,0.772123313677571,0.513687741765288,2.74689295781731,1.07654980237462,1.44720776165297,0.195409238016531,0.812291270008829,0.302186014126482,0.494732804963648,0.239531969840301,0.453134587765912,1.01509908836785,0.733612536253791,0.223193019485621,0.397415562572263,0.651402766428684,1.66000250393551,0.516039526117834
DBF4B,3.70341927737185,2.74749458926941,5.69734861255594,4.25668899081826,4.63321604993438,5.02038325288409,2.81723881002701,3.58563095758131,4.68315829760534,1.71027975462344,3.68670826997041,3.97003067904561,5.26639788515479,3.49261370670162,4.56084169153126,3.50661476701464,4.0879210138243,4.01805414631196,5.24225783940486,4.23217512174502,3.62326458937413,3.02560858045752,4.66763710941714,4.07510427144591,3.72024347043447,3.84399765712619,6.43192459084155,4.45568502282184,4.48026075871238,2.41387196163778,3.99944561550104,2.86508372639482,3.60579384711588,2.90978178543826,3.65033191427306,3.88533184240495,3.93046306232408,2.2722958676975,2.67758659784379,4.21653963962214,5.27988746707733,3.90509272252803
DSCR4,3.54541946810903,2.96650396945682,5.6323409581107,4.34251975299814,4.07370076632521,4.63364542424502,2.76865614267399,3.65379200935265,3.97424900797281,2.01821821510678,3.85250459186773,4.20166251621959,4.34942889036991,3.39879747409523,4.24335963316127,3.76582706517919,4.26524296443436,4.07477188543185,5.44154484583813,4.36374522589717,3.795061455201,3.22379543557587,4.2176239909332,3.96550480990406,3.55290317787069,4.0338605033165,6.01122728610139,4.63101116976496,4.05249594315934,2.61399118062051,3.84695365990456,2.93753655104478,3.53465562459116,3.15527880677421,3.84694018524197,3.62767125547298,3.86913131756761,2.43589331055855,2.80937574680677,4.13830878112754,5.17077865798474,3.96653694984502
