AAVS1,ACOX2,ADAMTS16,ARID1B,ATP5B,C2orf78,C8orf86,CCRL2,CD40LG,CHRNA7,CLK3,CLRN2,CYP2C19,CYTH3,DAAM1,DBF4B,DSCR4,EML2,FAM9C,FBXO10,GLI4,ID1,KBTBD2,KIAA0100,LDB3,LHFP,MIA2,MS4A3,NDP,PDX1,PQLC1,PRR3,PTPN1,RAPGEF3,RHDBL,RPL11,RTN4R,SERPINB5,SLC5A9,TIGD2,WDR92,WFDC2
AAVS1,3.17444798910702,5.38469628143421,5.36769110831531,4.79946475405409,2.42294761804202,3.44591837029125,4.22105374728923,5.21059459361468,1.93824203278653,6.38495007644184,5.73027762601101,5.52875138765,1.70007902115099,4.55143575845668,3.85414623896593,6.26303817553733,5.39157566306115,4.84058630371267,4.2380648900882,4.65283364706399,5.83562629856896,5.93113601530349,2.93941380496277,4.1898472914715,3.44912811506286,5.81595481080307,5.8483760299878,6.23525461247267,2.15949943170316,5.68857581059116,3.94834962885681,4.89309903201893,4.12802041720148,5.40252190634868,6.1935252418027,3.78241040774305,4.31908650496969,5.45936883278058,5.02224173001761,4.39162220978155,5.86379135626747,4.77077380421569
ACOX2,1.83176074915312,0.37637315153102,2.15037677563284,1.76904869870378,2.12869811446171,2.144883005797,1.78048660792656,1.58943848274603,2.71186066209114,1.46465442437096,1.46507279695534,1.24443012703938,3.2049557227314,1.87886657190471,1.97588220856275,1.32519159281493,1.79032385223087,1.34231165909191,2.42070494443292,1.47368804064422,1.48227535579054,1.56099007140798,1.88521069135485,1.36653607990879,1.56435968087427,1.56965311200141,3.01501220662831,1.89646652210536,1.36785027914977,0.999242419665231,1.82057901432473,1.35616305757909,1.28994512581271,0.818503471707216,1.31491042934162,2.02246914099964,1.56514069034499,1.43550892720443,1.44835469909929,1.0328917960458,2.3456079802555,1.64539127257338
ADAMTS16,3.28294791867726,3.14537463642698,0.82660180829623,3.47637287612634,2.31146010038135,3.35587277746902,2.83696365532254,3.84232605344174,2.75517633208239,3.9421187426134,4.06185666666989,3.46934908611897,2.46722546301626,2.50683060786268,2.14236449179889,3.71929997248954,3.92169551380512,3.491356580351,4.96316371589166,3.94408553090731,2.78981285750708,3.7753958210003,2.44380455018161,2.72960903597072,2.74089771897846,3.72972882784376,5.63909184726564,2.34151500208908,1.9104524245787,3.47063263613594,3.08687135219357,3.78468932653513,2.82529496561445,3.47478665112527,4.08775568867258,3.05458463389728,3.29482493081566,3.31449481629372,3.1636634812193,2.50246658368035,2.84150960216767,3.76849688878915
ARID1B,3.35065686049308,3.06918826817194,4.48830031054445,3.50457150737251,3.76715591016264,4.25475606599848,3.14137367423283,3.72393769778214,3.87177450655578,2.14425360729774,3.85539926662516,3.94814506123972,4.02656034717983,3.28524031751233,3.88278026640379,3.71873228886529,3.36297919316208,3.86640058689008,5.36502321965011,4.35244796014492,3.47077770893896,3.06784726788978,3.96456412385159,3.51584155405468,3.38901881505276,3.34707773494504,5.84931868878269,4.12132996317868,3.44629293389152,2.57989277695089,3.79276212223617,3.36119354387268,3.36942996941162,3.38732063699561,3.88335901151892,4.04067840921794,3.41502324544646,2.70670823177488,2.64119827848413,3.80977988192551,4.80454195806422,4.11747423503292
ATP5B,1.40033698744136,3.29365971941953,2.25546444315514,2.30059851019491,0.469916115542653,2.26153002543668,1.62514987867632,2.28167898548063,0.61665702065691,3.77554169688071,3.05512833840109,3.24774880879677,0.482518047670441,1.9874737007178,0.988200674728627,2.95470823380113,2.91695116069931,2.29432859991223,3.7976334282155,2.28414547103574,2.43400828777554,2.53532938938832,0.762058414921992,1.57366185565899,1.16181562729817,2.8062565648516,5.71787317373568,3.08634192626901,0.852898837095634,2.57741817587839,1.40259373692463,1.95255172677525,1.83807228789371,2.91514880673409,3.07780261651762,1.21361898338241,1.64707442554261,2.49582330876253,2.42823399332423,1.62240236105494,2.30547683185114,2.10866786803946
C2orf78,1.0937658937149,1.39764538558556,2.48893360317252,0.821714847567722,1.87785393206184,1.60232740317088,1.31412930800687,0.614534799963108,2.54650971613,1.80589674630669,0.845906622415507,1.22609635378866,2.98030935978949,1.56613096295455,1.53232774736212,0.933857479931031,0.913628261054964,0.670562715912439,2.23998585822443,0.803195915604887,0.780171916590241,0.880091678556062,1.49894154753939,0.943613115551608,1.11128361642035,0.77527782282733,3.02780566155286,1.35573130696637,1.97354641153579,1.1117789476537,1.08219953626368,0.868380621661372,0.912051184161165,1.09144987584812,0.897790056408873,1.13931643360185,0.91300002695991,1.1053737515095,1.0916787083495,1.13620298460101,2.42481055397044,0.755018763243691
C8orf86,1.16234544331043,2.40871995615092,2.21288210656004,2.23786778428286,0.822070150010909,1.58716223302744,1.54181959185194,2.12025068328301,0.927722372654181,2.81639513614917,2.60083847844253,2.35031619435017,0.81556460221963,1.70082400524482,1.30571977594861,2.45452506565662,2.44461113841273,2.07221596215707,3.08848283790712,2.30688854681483,2.2628059155633,2.01748152091157,1.14821789875517,1.67799387040953,1.23176780017575,2.45308820009931,3.97570079066464,2.26231818275588,1.02016225075579,2.00089281209418,1.51824721419371,1.98590858205424,1.50662336655186,2.33429414858888,2.35522538639892,1.3698106925629,1.44943784988986,2.07956413476871,1.73943401490545,1.74052240747035,2.36636676580096,2.37142053488798
CCRL2,1.51299091424636,1.01386480426529,2.59214769512177,1.37142406864442,3.10833008422813,1.74551447162097,1.51187334772293,0.945317682318962,3.88639928442673,1.29845370515977,0.765612759714187,1.06478448906742,4.54217574274607,1.84229128771731,2.45551748562377,1.04695649355969,1.21146109568781,0.993165336798303,1.9680035171876,1.00201879147776,0.977434243202863,1.34495045386747,2.62734648755677,1.47768893738574,1.63276553202779,0.982053916445488,2.10665754257755,1.57581211530113,2.94593164982351,1.24830102387013,1.67703994651061,1.02345700472387,1.23721040875631,1.05916901346762,0.948960632398294,2.02696903156614,1.42996738797432,1.01512459821354,0.907391653724809,1.75340504989212,2.81637443152392,1.21535868024034
CD40LG,2.25112772548326,3.37548464208861,5.02396328407344,1.8223827066717,2.48750056842801,3.34985027050279,2.56434530692049,1.87507213677632,2.66547995530559,4.03573870775584,2.34589608819854,3.05464300794916,3.79932444081566,3.90682890031062,2.95250502316056,2.98896539365265,1.73310877268014,2.10773931851305,4.13771967861232,2.21907736832108,2.51353028085159,2.55619308448299,2.12434260478343,1.88832830609937,2.27245433235664,1.83202565989157,5.62156728269955,3.61893721773383,2.87343701953314,3.00006532383431,2.42665206019331,1.91225049418672,2.60574863566744,2.87955206801386,2.11246580729022,2.10686636555812,1.80377121464363,2.87467958244479,2.34862304749917,2.4078843411548,4.25925841927121,2.03670063977661
CHRNA7,1.93406442623389,1.50001108663183,2.31788510099894,2.1870481617794,3.15063099415213,2.51610549919129,1.76460774721079,1.78710763296304,3.69755965207419,0.677541670075581,1.58599746319193,1.38553748793175,4.2201676118885,1.51470839521838,2.58071027797534,1.30790762423488,1.93941195416029,1.89443581978617,2.36525478144612,1.81861278948362,1.30288115377838,1.32862175168113,3.0856518106834,2.19461178780862,2.03182609517548,1.82188318063857,3.66398113166882,1.68067942316945,2.77408118825059,0.968724728721695,2.16029192773396,1.65476770132186,1.69548964518326,1.51597229495416,1.84393152971761,2.4652521741833,2.03436575541398,0.89199151804716,1.16409335292537,2.26124470916257,2.55283490622927,2.08576941353155
CLK3,1.06526157534202,0.846490902491942,2.28583637605846,1.29770235771278,1.71418530307227,0.671742942011609,1.39498866376847,1.03369408149144,2.09286180714905,1.12438199527251,0.633081325165384,0.970345613064627,2.32999291910249,0.816961403142861,1.68337658496963,1.20866754611925,1.14085889605816,0.877384762128686,1.93464173829759,1.36599678841638,1.16106107039101,1.35153277401026,1.66031357146741,1.04960151463825,1.25038395182396,0.986921495482762,1.02748358319115,1.4793858477277,1.56516472502231,1.12681242017398,1.4087221261873,1.16780674314348,0.743217923953167,1.35328541304246,1.35437750239918,1.57693473730571,1.21456524874652,1.11252362096843,1.10671341473201,1.31017804304015,1.67722377860183,1.49268287264129
CLRN2,1.41277019185629,1.70058953658955,2.59588099347112,1.84130755456656,2.1038947176847,1.68862273977329,1.46205558748608,1.50215043107786,2.37763488523284,1.82933311046706,1.37491782029842,0.488744218528984,3.16002999212101,1.39555286123378,1.79240575286134,0.945884458516256,1.38441055234659,1.30180448972599,2.1114596413765,1.54030162444028,1.45553765506379,1.59340350366264,2.1273697757341,1.66771566884164,1.89447426496331,1.54835454639433,3.01732853131731,1.29778051184335,2.48037828496455,1.52222167522397,1.51960501002463,1.63398077639368,1.36085230978542,1.48918007001574,1.58275914955033,1.7734298361079,1.69720285726495,1.11154094961413,1.31395772052356,1.69613842944881,2.40240003529073,1.69596760520324
CYP2C19,2.58457414117234,4.57653372848093,3.54239568624461,4.14791166903114,1.53569933331088,2.41205361725672,3.3411368330135,3.91362030334443,1.75493249660805,5.10140390270828,4.37291105342426,4.27594139371594,0.542599754325062,2.78902399989733,2.28979053263387,4.45500085093415,4.44701183520495,3.85138655096393,4.74459554140646,3.82474583532758,3.70064255187873,3.64795647028165,2.13895703802613,3.14627981068906,2.64391420923228,4.62836268890161,4.05573457683841,4.31864596790041,2.09684640018539,4.07035096335636,3.13629002425261,3.66868174155727,3.0956440067526,4.62299536527095,4.33612509558954,2.64626938152447,3.41271982389689,3.81414380692898,3.78053381372175,3.13002761550051,3.54420624476613,4.03858372967012
CYTH3,2.11985124975813,1.88357418464345,3.63967073728378,2.72389095316085,2.49257906703851,2.96475443967509,1.69600174347266,2.23867168749829,2.5949234385984,0.980340214731369,2.1895005742958,2.66334649616269,3.14551519386944,1.62771161759057,2.51973425823731,2.28568336037878,2.52867045209259,2.41716141314165,4.00089090970399,2.83066333340372,2.32925194376072,2.39488594298769,2.67558896466294,2.23940167544486,2.13532020129488,2.32855552182751,4.59460373098309,3.05141365056718,2.52340185377162,1.51960179286467,2.14389729018756,1.74969643176624,1.98235807164271,2.1623926243312,2.36574463367093,2.30131664572964,2.25400400886818,1.27030537024095,1.85216267165879,2.36190708558131,2.19994930548836,2.41218197506011
