indel_size	fq
-174	0
-173	0
-172	0
-171	0
-170	0
-169	0
-168	0
-167	0
-166	0
-165	0
-164	0
-163	0
-162	0
-161	0
-160	0
-159	0
-158	0
-157	0
-156	0
-155	0
-154	0
-153	0
-152	0
-151	0
-150	0
-149	0
-148	0
-147	0
-146	0
-145	0
-144	0
-143	0
-142	0
-141	0
-140	0
-139	0
-138	0
-137	0
-136	0
-135	0
-134	0
-133	0
-132	0
-131	0
-130	0
-129	0
-128	0
-127	0
-126	0
-125	0
-124	0
-123	0
-122	0
-121	0
-120	0
-119	0
-118	0
-117	0
-116	131
-115	71
-114	0
-113	0
-112	0
-111	0
-110	98
-109	0
-108	0
-107	0
-106	0
-105	27
-104	0
-103	0
-102	0
-101	0
-100	0
-99	0
-98	0
-97	0
-96	0
-95	0
-94	0
-93	0
-92	0
-91	0
-90	0
-89	0
-88	0
-87	0
-86	0
-85	0
-84	0
-83	0
-82	0
-81	80
-80	0
-79	0
-78	0
-77	0
-76	0
-75	48
-74	0
-73	0
-72	0
-71	0
-70	43
-69	0
-68	0
-67	0
-66	0
-65	0
-64	0
-63	0
-62	0
-61	0
-60	0
-59	70
-58	0
-57	63
-56	0
-55	0
-54	33
-53	0
-52	31
-51	30
-50	0
-49	0
-48	0
-47	0
-46	60
-45	0
-44	0
-43	91
-42	0
-41	1
-40	21
-39	66
-38	0
-37	1
-36	50
-35	0
-34	106
-33	139
-32	41
-31	9
-30	136
-29	69
-28	30
-27	0
-26	56
-25	47
-24	117
-23	50
-22	143
-21	175
-20	459
-19	789
-18	380
-17	193
-16	523
-15	60
-14	290
-13	187
-12	175
-11	474
-10	430
-9	1343
-8	2942
-7	496
-6	844
-5	527
-4	249
-3	221
-2	693
-1	1017
0	10137
1	1517
2	190
3	43
4	86
5	0
6	42
7	2
8	31
9	0
10	0
11	2
12	0
13	45
14	0
15	42
16	0
17	20
18	0
19	1
20	0
21	0
22	32
23	1
24	28
25	0
26	0
27	1
28	1
29	18
30	5
31	0
32	0
33	0
34	4
35	0
36	0
37	3
38	23
39	0
40	91
41	1
42	1
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
