indel_size	fq
-174	0
-173	0
-172	0
-171	0
-170	0
-169	0
-168	0
-167	0
-166	0
-165	0
-164	0
-163	0
-162	0
-161	0
-160	0
-159	0
-158	0
-157	0
-156	0
-155	0
-154	0
-153	0
-152	0
-151	0
-150	0
-149	0
-148	0
-147	0
-146	0
-145	0
-144	0
-143	0
-142	0
-141	0
-140	0
-139	0
-138	0
-137	0
-136	0
-135	0
-134	0
-133	0
-132	0
-131	0
-130	0
-129	0
-128	0
-127	0
-126	0
-125	0
-124	0
-123	0
-122	0
-121	0
-120	0
-119	0
-118	0
-117	0
-116	131
-115	71
-114	0
-113	0
-112	0
-111	0
-110	98
-109	0
-108	0
-107	0
-106	0
-105	27
-104	0
-103	0
-102	0
-101	0
-100	0
-99	0
-98	0
-97	0
-96	0
-95	0
-94	0
-93	0
-92	0
-91	0
-90	0
-89	0
-88	0
-87	0
-86	0
-85	0
-84	0
-83	0
-82	0
-81	80
-80	0
-79	0
-78	0
-77	0
-76	0
-75	48
-74	0
-73	0
-72	0
-71	0
-70	43
-69	0
-68	0
-67	0
-66	0
-65	0
-64	0
-63	0
-62	0
-61	0
-60	0
-59	71
-58	0
-57	63
-56	0
-55	0
-54	33
-53	0
-52	31
-51	30
-50	0
-49	0
-48	0
-47	0
-46	0
-45	1
-44	0
-43	91
-42	0
-41	0
-40	21
-39	66
-38	0
-37	1
-36	50
-35	0
-34	106
-33	139
-32	41
-31	9
-30	136
-29	69
-28	29
-27	0
-26	56
-25	47
-24	117
-23	50
-22	142
-21	176
-20	460
-19	789
-18	351
-17	194
-16	523
-15	61
-14	290
-13	135
-12	174
-11	255
-10	246
-9	1312
-8	2943
-7	494
-6	849
-5	528
-4	246
-3	106
-2	671
-1	1007
0	11087
1	1433
2	134
3	0
4	97
5	0
6	91
7	32
8	0
9	0
10	0
11	0
12	1
13	18
14	0
15	42
16	0
17	20
18	0
19	2
20	0
21	1
22	0
23	1
24	28
25	1
26	1
27	3
28	0
29	0
30	1
31	0
32	0
33	1
34	3
35	0
36	2
37	20
38	24
39	2
40	90
41	2
42	3
43	46
44	5
45	2
46	27
47	5
48	25
49	17
50	1
51	4
52	28
53	23
54	0
55	1
56	2
57	21
58	2
59	3
60	1
61	3
62	10
63	22
64	74
65	409
66	6032
67	28
68	2
69	73
70	19
71	1
72	15
73	27
74	0
75	1
76	0
77	17
78	25
79	2
80	15
81	0
82	0
83	11
84	22
85	0
86	13
87	4
88	28
89	24
90	4
91	12
92	20
93	24
94	42
95	45
96	2
97	2
98	9
99	62
100	45
101	1
102	8
103	0
104	7
105	30
106	11
107	6
108	15
109	4
110	31
111	47
112	576
113	104
114	29
115	24
116	22
117	15
118	6
119	16
120	1
121	0
122	2
123	22
124	0
125	2
126	0
127	6
128	0
129	12
130	1
131	1
132	1
133	1
134	8
135	0
136	0
137	4
138	3
139	46
140	22
141	8
142	23
143	4
144	5
145	16
146	1
147	5
148	30
149	21
150	25
151	26
152	29
153	14
154	5
155	32
